TIPO_ARCHIVO|ARCHIVO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
Vistas|SQLAExport1552.txt|REPLACE VIEW|ARMVIEWS|RMA_CPR_CLT_DMCORE_A|ARMVIEWS|RMU_PROD_CLT_DMCORE_A
Vistas|SQLAExport1553.txt|REPLACE VIEW|ARMVIEWS|RMA_RANKING_SOCIOS_CON_A_1511|ARMVIEWS|RMU_MODELOS_SCORE_SOCIOS_CON_A
Vistas|SQLAExport1553.txt|REPLACE VIEW|ARMVIEWS|RMA_RANKING_SOCIOS_CON_A_1511|ARMINP|RME_RANKING_SOCIOS
Vistas|SQLAExport1554.txt|REPLACE VIEW|ARMVIEWS|CD_EX_DMC_METADATA|ARMCORE|CD_EX_DMC_METADATA
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|ARMWORK|RMJ_CLT_ACCOUNT
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|ARMVIEWS|RMA_CLT_RUT_A
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|ARMVIEWS|RMU_CLT_NOMBRES_A
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|armviews|RMR_CLT_PTY_SUC_SUC_OC_A
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|armviews|RMJ_SUC_sucursal
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|armviews|RMJ_SUC_REGIONAL
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|ARMVIEWS|RMA_BANCO_CLIENTE_A
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|ARMVIEWS|RMA_BANCA_A
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|ARMVIEWS|RMU_TABLON_CAMPANA_A
Vistas|SQLAExport1555.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_CON_TELE|ARMVIEWS|RMS_TELEFONOS_A
Vistas|SQLAExport1556.txt|REPLACE VIEW|ARMVIEWS|RMU_ULTIMA_GESTION_TELE_EVE_A|armviews|RMJ_CLT_RUT
Vistas|SQLAExport1556.txt|REPLACE VIEW|ARMVIEWS|RMU_ULTIMA_GESTION_TELE_EVE_A|ARMVIEWS|RMU_GESTION_EVEREST
Vistas|SQLAExport1556.txt|REPLACE VIEW|ARMVIEWS|RMU_ULTIMA_GESTION_TELE_EVE_A|ARMVIEWS|RMU_GESTION_TELECANAL
Vistas|SQLAExport1557.txt|REPLACE VIEW|ARMVIEWS|RMA_DMC_CORREO_A|ARMVIEWS|RMU_CLT_EMAIL_A
Vistas|SQLAExport1557.txt|REPLACE VIEW|ARMVIEWS|RMA_DMC_CORREO_A|ARMVIEWS|RMA_CRMPYME_HAZTE_CLIENTE_A
Vistas|SQLAExport1557.txt|REPLACE VIEW|ARMVIEWS|RMA_DMC_CORREO_A|ARMVIEWS|RMJ_CLT_PARTY
Vistas|SQLAExport1558.txt|REPLACE VIEW|ARMVIEWS|RMA_TBL_CTASESPECIALES_A|ARMVIEWS|RMU_TBL_CTASESPECIALES_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMJ_CLT_PARTY
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_TABLON_ATC_OFTA_INT_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_DM_TCR_TRJ_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_CLT_RUT_A
